location,population,MAX(RollingPeoVac)
Afghanistan,39835428,14125
Albania,2872934,1417691
Algeria,44616626,170786
Andorra,77354,4802
Anguilla,15125,1421
"Antigua and Barbuda",98728,8412
Argentina,45605823,102528780
Aruba,107195,111560
Australia,25788217,57286044
Azerbaijan,10223344,10657608
Bahamas,396914,9258
Bahrain,1748295,2929057
Bangladesh,166303494,120972507
Barbados,287708,290848
Belgium,11632334,25370018
Belize,404915,122692
Bhutan,779900,862033
Bolivia,11832936,13519064
"Bosnia and Herzegovina",3263459,93862
Botswana,2397240,10435
Brazil,213993441,431997946
Brunei,441532,259735
Bulgaria,6896655,4216794
Burundi,12255429,460
Cambodia,16946446,36482941
Cameroon,27224262,10290
Canada,38067913,85441857
"Cape Verde",561901,7462
"Cayman Islands",66498,15339
"Central African Republic",4919987,12887
Chile,19212362,56123218
China,1444216102,3298612000
Colombia,51265841,50290307
Congo,5657017,1486
"Cote d'Ivoire",27053629,2278710
Croatia,4081657,3722361
Cuba,11317498,32210652
Curacao,164796,189270
Cyprus,896005,428204
Czechia,10724553,17632334
"Democratic Republic of Congo",92377986,42303
Denmark,5813302,13223664
Dominica,72172,6417
"Dominican Republic",10953714,13600378
Ecuador,17888474,33791256
Egypt,104258327,2157499
"El Salvador",6518500,4964236
"Equatorial Guinea",1449891,639
Estonia,1325188,1988446
Eswatini,1172369,110765
Ethiopia,117876226,23047615
"Faeroe Islands",49053,34813
Fiji,902899,28295
Finland,5548361,1254404
France,67422000,144465169
"French Polynesia",282534,855
Gabon,2278829,1486
Gambia,2486937,429
Georgia,3979773,1455821
Germany,83900471,179937326
Ghana,31732128,180950
Gibraltar,33691,92234
Greece,10370747,20106203
Greenland,56868,43336
Grenada,113015,1037
Guatemala,18249868,13410832
Guernsey,63385,15931
Guinea,13497237,1586407
Guinea-Bissau,2015490,1658
Guyana,790329,144957
Haiti,11541683,41453
Honduras,10062994,229026
"Hong Kong",7552800,16667668
Hungary,9634162,8276404
Iceland,368792,258851
India,1393409033,1852612709
Indonesia,276361788,330544770
Iran,85028760,20588423
Iraq,41179351,26828
Ireland,4982904,10878685
"Isle of Man",85410,93323
Israel,9291000,18155794
Italy,60367471,137740566
Jamaica,2973462,543315
Japan,126050796,280023022
Jordan,10269022,4260392
Kazakhstan,18994958,18655980
Kenya,54985702,11113785
Kosovo,1782115,1324669
Kuwait,4328553,35636
Kyrgyzstan,6628347,2379004
Laos,7379358,2030383
Latvia,1866934,2889855
Lebanon,6769151,5134981
Liberia,5180208,10089
Libya,6958538,200655
Liechtenstein,38254,58850
Lithuania,2689862,4481970
Luxembourg,634814,1205869
Macao,658391,842966
Madagascar,28427333,13544
Malawi,19647681,1256993
Malaysia,32776195,70923864
Maldives,543620,772572
Malta,516100,1265234
Mauritania,4775110,24659
Mauritius,1273428,35153
Mexico,130262220,150702693
Moldova,4024025,1336495
Mongolia,3329282,4415265
Montenegro,628051,604675
Morocco,37344787,27406052
Mozambique,32163045,295812
Myanmar,54806014,3800
Namibia,2587344,234709
Nauru,10873,168
Nepal,29674920,13284548
"New Zealand",5126300,11076982
Nigeria,211400704,3160328
"North Macedonia",2082661,925842
"Northern Cyprus",0,1988
Norway,5465629,11323584
Oman,5223376,65081
Pakistan,225199929,92424342
Palestine,5222756,1640780
Panama,4381583,231431
Paraguay,7219641,4105501
Peru,33359415,74984101
Philippines,111046910,55439750
Poland,37797000,38139608
Qatar,2930524,5445696
Romania,19127772,16783078
Russia,145912022,147827598
Rwanda,13276517,920644
"Saint Kitts and Nevis",53546,6553
"Saint Lucia",184401,26255
"Saint Vincent and the Grenadines",111269,16641
"San Marino",34010,20141
"Saudi Arabia",35340680,58060875
Senegal,17196308,330137
Serbia,6871547,3264463
Seychelles,98910,42863
"Sierra Leone",8141343,7981
Singapore,5453600,14025436
Slovenia,2078723,2972760
Somalia,16359500,37292
"South Africa",60041996,18109756
"South Korea",51305184,125453435
"South Sudan",11381377,7489
Spain,46745211,62965910
"Sri Lanka",21497306,33589253
Sudan,44909351,45572
Suriname,591798,343344
Switzerland,8715494,15705688
Taiwan,23855008,42632551
Tajikistan,9749625,124745
Thailand,69950844,121555873
Timor,1343875,7881
"Trinidad and Tobago",1403374,1491162
Tunisia,11935764,8546232
Turkey,85042736,145231559
Uganda,47123533,704976
Ukraine,43466822,31551877
"United Arab Emirates",9991083,20199932
"United Kingdom",68207114,140384398
"United States",332915074,586474921
Uruguay,3485152,8363287
Uzbekistan,33935765,15127072
Vietnam,98168829,133645940
Zambia,18920657,1860425
Zimbabwe,15092171,10496000
